,artist,collaborator
0,Emis Killa,Sfera Ebbasta
0,Emis Killa,Rizzo
0,Emis Killa,Neima Ezza
0,Emis Killa,Guè
0,Emis Killa,Salmo
0,Emis Killa,Ernia
0,Emis Killa,Coez
0,Emis Killa,Lazza
0,Emis Killa,Fabri Fibra
0,Emis Killa,G. Soave
0,Emis Killa,Duellz
0,Emis Killa,Tormento
0,Emis Killa,Marracash
0,Emis Killa,Fabio De Martino
0,Emis Killa,J Lord
0,Emis Killa,Rose Villain
0,Emis Killa,Madame
0,Emis Killa,Gemitaiz
0,Emis Killa,Jake La Furia
0,Emis Killa,Montenero
0,Emis Killa,RollzRois
0,Emis Killa,Mera
0,Emis Killa,Not Good
0,Emis Killa,Massimo Pericolo
0,Emis Killa,Geolier
0,Emis Killa,Rkomi
0,Emis Killa,Speranza
0,Emis Killa,Foreigner.Flp
0,Emis Killa,Inamos
0,Emis Killa,Tedua
0,Emis Killa,Nayt
0,Emis Killa,Capo Plaza
0,Emis Killa,Carl Brave
0,Emis Killa,Vegas Jones
0,Emis Killa,6ix9ine
0,Emis Killa,PashaPG
0,Emis Killa,Neffa
0,Emis Killa,Maruego
0,Emis Killa,Giso
0,Emis Killa,Jamil
0,Emis Killa,DJ Telaviv
0,Emis Killa,Davide Ice
0,Emis Killa,Big Joe
0,Emis Killa,Zef
0,Emis Killa,Bassi Maestro
0,Emis Killa,Clark P.
0,Emis Killa,Don Joe
0,Emis Killa,Sick Luke
0,Emis Killa,Vacca
0,Emis Killa,Mondo Marcio
0,Emis Killa,MadMan
0,Emis Killa,PK
0,Emis Killa,Clementino
0,Emis Killa,2nd Roof Music
0,Emis Killa,Luchè
0,Emis Killa,Small White
0,Emis Killa,Fritz Da Cat
0,Emis Killa,J-AX
0,Emis Killa,Skin
0,Emis Killa,Max Pezzali
0,Emis Killa,Duellez
0,Emis Killa,Mostro
0,Emis Killa,Westside Gunn
0,Emis Killa,Roshelle
0,Emis Killa,Shiva
0,Emis Killa,Achille Lauro
