,artist,popularity,num_genres
0,Emis Killa,68,2
0,Rhove,67,2
0,Finesse,64,0
0,Lazza,77,4
0,Geolier,78,4
0,BLANCO,72,2
0,Pinguini Tattici Nucleari,70,4
0,Annalisa,66,2
0,Tananai,68,1
0,Marco Mengoni,69,2
0,Shiva,75,3
0,Rocco Hunt,67,5
0,Mr.Rain,65,3
0,Bresh,67,3
0,thasup,71,3
0,Tony Effe,68,2
0,Guè,75,2
0,Medy,64,1
0,Angelina Mango,54,0
0,Rose Villain,63,3
0,VillaBanks,66,3
0,Madame,68,4
0,Loreen,74,2
0,Sfera Ebbasta,80,4
0,Rizzo,44,1
0,Neima Ezza,65,2
0,Salmo,69,4
0,Ernia,69,3
0,Coez,68,4
0,Fabri Fibra,64,3
0,G. Soave,12,0
0,Duellz,16,0
0,Tormento,36,1
0,Marracash,73,4
0,Fabio De Martino,19,0
0,J Lord,47,1
0,Gemitaiz,69,1
0,Jake La Furia,59,2
0,Montenero,28,1
0,RollzRois,35,0
0,Mera,19,0
0,Not Good,31,1
0,Massimo Pericolo,64,2
0,Rkomi,68,2
0,Speranza,46,3
0,Foreigner.Flp,17,0
0,Inamos,26,1
0,Tedua,69,5
0,Nayt,58,1
0,Capo Plaza,72,3
0,Carl Brave,58,4
0,Vegas Jones,54,1
0,6ix9ine,73,1
0,PashaPG,28,0
0,Neffa,55,4
0,Maruego,35,1
0,Giso,24,0
0,Jamil,48,1
0,DJ Telaviv,15,0
0,Davide Ice,14,0
0,Big Joe,28,0
0,Zef,38,0
0,Bassi Maestro,44,3
0,Clark P.,19,0
0,Don Joe,55,1
0,Sick Luke,62,2
0,Vacca,40,2
0,Mondo Marcio,49,2
0,MadMan,62,1
0,PK,23,0
0,Clementino,55,3
0,2nd Roof Music,12,0
0,Luchè,69,3
0,Small White,7,0
0,Fritz Da Cat,33,3
0,J-AX,59,2
0,Skin,31,0
0,Max Pezzali,52,2
0,Duellez,8,0
0,Mostro,59,2
0,Westside Gunn,65,6
0,Roshelle,40,1
0,Achille Lauro,58,3
0,Boss Doms,47,2
0,Andrea Piraz,8,0
0,Saturnino,30,1
0,Paky,67,2
0,Madfingerz,61,0
0,8blevrai,50,0
0,Kassimi,50,0
0,Yunes LaGrintaa,48,1
0,Sisco,39,0
0,Néza,55,0
0,Nabi,55,0
0,Sasso,57,5
0,Timal,61,3
0,Ghali,65,4
0,Jul,81,4
0,Morad,78,2
0,Elai,62,2
0,MamboLosco,66,2
0,Nardi,51,0
0,Tony Boy,55,1
0,Tory Lanez,80,7
0,Takagi & Ketra,64,2
0,Noyz Narcos,64,2
0,French Montana,74,5
0,Dylan,58,2
0,Rondodasosa,69,3
0,Izi,61,5
0,Giaime,51,2
0,Kaydy Cain,61,2
0,Elodie,65,2
0,Low Kidd,49,2
0,Nitro,64,1
0,James Hype,71,3
0,Miggy Dela Rosa,68,2
0,Oliver Heldens,70,8
0,ANNA,65,2
0,Fumez The Engineer,65,4
0,Andry The Hitmaker,59,1
0,333 Mob,37,1
0,Giorgia,60,2
0,Michelangelo,54,0
0,Lele Blade,59,2
0,MV Killa,62,2
0,Shablo,58,2
0,TY1,54,1
0,Anna Tatangelo,41,2
0,Boro Boro,57,2
0,Neves17,42,1
0,Poison Beatz,39,0
0,Tom Trigger,36,0
0,Dat Boi Dee,44,1
0,Peppe Soks,52,2
0,Nicola Siciliano,54,2
0,Mina,65,3
0,Mahmood,61,2
0,MEDUZA,77,3
0,MACE,59,3
0,Federico Rossi,48,1
0,Alfa,59,1
0,Chadia Rodriguez,44,2
0,Michele Bravi,48,2
0,Boomdabash,61,3
0,David Guetta,89,5
0,Ty Dolla $ign,81,6
0,A Boogie Wit da Hoodie,82,3
0,Yanomi,52,0
0,Two Fingerz,30,0
0,ARIETE,61,2
0,Fedez,62,2
0,Mara Sattei,63,2
0,Rosa Chemical,58,1
0,The Kingdom Choir,42,0
0,La rappresentante di lista,53,4
0,Samuele Bersani,50,2
0,Gazzelle,67,2
0,Benny Benassi,66,3
0,Tom Walker,67,2
0,Vanessa Da Mata,63,1
0,Selton,37,3
0,Paloma Faith,69,3
0,Mystify Noise,1,0
0,Frah Quintale,65,4
